year-month,countriesAndTerritories,cases cumulative month,deaths cumulative month,year,month,%_exportaciones_bienes_servicios
2020-01,Czechia,0,0,2020,1,71
2020-01,Finland,2,0,2020,1,35.8
2020-01,France,6,0,2020,1,27.5
2020-01,Germany,11,0,2020,1,43.4
2020-01,Spain,33,0,2020,1,30.6
2020-02,Austria,8,0,2020,2,51.4
2020-02,Croatia,5,0,2020,2,42
2020-02,Czechia,0,0,2020,2,71
2020-02,Denmark,3,0,2020,2,54.9
2020-02,Estonia,1,0,2020,2,71.2
2020-02,Finland,8,0,2020,2,35.8
2020-02,France,94,0,2020,2,27.5
2020-02,Germany,125,1,2020,2,43.4
2020-02,Greece,5,0,2020,2,32
2020-02,Iceland,1,,2020,2,34.4
2020-02,Ireland,1,0,2020,2,131.1
2020-02,Italy,1128,29,2020,2,29.5
2020-02,Latvia,0,0,2020,2,60.4
2020-02,Lithuania,1,0,2020,2,73.5
2020-02,Luxembourg,1,0,2020,2,204.7
2020-02,Netherlands,2,0,2020,2,77.9
2020-02,Norway,22,,2020,2,32.2
2020-02,Portugal,0,0,2020,2,37
2020-02,Spain,1681,1,2020,2,30.6
2020-02,Sweden,14,0,2020,2,43.8
2020-03,Austria,10479,174,2020,3,51.4
2020-03,Belgium,16977,1411,2020,3,80
2020-03,Bulgaria,412,8,2020,3,55.3
2020-03,Croatia,862,6,2020,3,42
2020-03,Cyprus,262,6,2020,3,75.8
2020-03,Czechia,3316,35,2020,3,71
2020-03,Denmark,3173,110,2020,3,54.9
2020-03,Estonia,782,5,2020,3,71.2
2020-03,Finland,1788,58,2020,3,35.8
2020-03,France,52028,3523,2020,3,27.5
2020-03,Germany,73938,2683,2020,3,43.4
2020-03,Greece,1309,49,2020,3,32
2020-03,Hungary,492,16,2020,3,79
2020-03,Iceland,1085,2,2020,3,34.4
2020-03,Ireland,3234,71,2020,3,131.1
2020-03,Italy,104664,12399,2020,3,29.5
2020-03,Latvia,398,0,2020,3,60.4
2020-03,Liechtenstein,68,0,2020,3,:
2020-03,Lithuania,396,6,2020,3,73.5
2020-03,Luxembourg,2033,26,2020,3,204.7
2020-03,Malta,169,0,2020,3,152.2
2020-03,Netherlands,12447,1018,2020,3,77.9
2020-03,Norway,5085,26,2020,3,32.2
2020-03,Poland,2311,33,2020,3,55.9
2020-03,Portugal,7252,214,2020,3,37
2020-03,Romania,2245,82,2020,3,37.2
2020-03,Slovakia,400,1,2020,3,85.4
2020-03,Slovenia,842,13,2020,3,77.9
2020-03,Spain,165931,10388,2020,3,30.6
2020-03,Sweden,4820,332,2020,3,43.8
2020-04,Austria,5030,475,2020,4,51.4
2020-04,Belgium,33548,6488,2020,4,80
2020-04,Bulgaria,1129,58,2020,4,55.3
2020-04,Croatia,1209,63,2020,4,42
2020-04,Cyprus,588,9,2020,4,75.8
2020-04,Czechia,4386,207,2020,4,71
2020-04,Denmark,282,22,2020,4,54.9
2020-04,Estonia,907,45,2020,4,71.2
2020-04,Finland,3625,202,2020,4,35.8
2020-04,France,77453,20840,2020,4,27.5
2020-04,Germany,88185,5736,2020,4,43.4
2020-04,Greece,1277,91,2020,4,32
2020-04,Hungary,2283,296,2020,4,79
2020-04,Iceland,711,8,2020,4,34.4
2020-04,Ireland,17377,1161,2020,4,131.1
2020-04,Italy,99671,15539,2020,4,29.5
2020-04,Latvia,460,16,2020,4,60.4
2020-04,Liechtenstein,14,1,2020,4,:
2020-04,Lithuania,920,26,2020,4,73.5
2020-04,Luxembourg,1028,66,2020,4,204.7
2020-04,Malta,296,4,2020,4,152.2
2020-04,Netherlands,26610,3747,2020,4,77.9
2020-04,Norway,2679,176,2020,4,32.2
2020-04,Poland,10566,611,2020,4,55.9
2020-04,Portugal,16881,873,2020,4,37
2020-04,Romania,9995,635,2020,4,37.2
2020-04,Slovakia,1003,22,2020,4,85.4
2020-04,Slovenia,592,78,2020,4,77.9
2020-04,Spain,67632,15733,2020,4,30.6
2020-04,Sweden,16774,2543,2020,4,43.8
2020-05,Austria,1130,96,2020,5,51.4
2020-05,Belgium,8439,1556,2020,5,80
2020-05,Bulgaria,978,74,2020,5,55.3
2020-05,Croatia,170,34,2020,5,42
2020-05,Cyprus,94,2,2020,5,75.8
2020-05,Czechia,1620,76,2020,5,71
2020-05,Denmark,1240,51,2020,5,54.9
2020-05,Estonia,175,11,2020,5,71.2
2020-05,Finland,1564,45,2020,5,35.8
2020-05,France,22172,4419,2020,5,27.5
2020-05,Germany,19776,698,2020,5,43.4
2020-05,Greece,326,35,2020,5,32
2020-05,Hungary,1101,214,2020,5,79
2020-05,Iceland,9,0,2020,5,34.4
2020-05,Ireland,4378,419,2020,5,131.1
2020-05,Italy,27556,5448,2020,5,29.5
2020-05,Latvia,208,9,2020,5,60.4
2020-05,Liechtenstein,0,0,2020,5,:
2020-05,Lithuania,295,23,2020,5,73.5
2020-05,Luxembourg,149,18,2020,5,204.7
2020-05,Malta,153,5,2020,5,152.2
2020-05,Netherlands,7137,1158,2020,5,77.9
2020-05,Norway,653,34,2020,5,32.2
2020-05,Poland,10909,420,2020,5,55.9
2020-05,Portugal,8775,345,2020,5,37
2020-05,Romania,7017,549,2020,5,37.2
2020-05,Slovakia,119,5,2020,5,85.4
2020-05,Slovenia,39,17,2020,5,77.9
2020-05,Spain,15119,3048,2020,5,30.6
2020-05,Sweden,17053,1746,2020,5,43.8
2020-06,Austria,1132,66,2020,6,51.4
2020-06,Belgium,3020,281,2020,6,80
2020-06,Bulgaria,2470,83,2020,6,55.3
2020-06,Croatia,531,4,2020,6,42
2020-06,Cyprus,54,2,2020,6,75.8
2020-06,Czechia,2703,29,2020,6,71
2020-06,Denmark,1099,31,2020,6,54.9
2020-06,Estonia,120,2,2020,6,71.2
2020-06,Finland,283,4,2020,6,35.8
2020-06,France,13048,1041,2020,6,27.5
2020-06,Germany,12919,145,2020,6,43.4
2020-06,Greece,492,17,2020,6,32
2020-06,Hungary,279,59,2020,6,79
2020-06,Iceland,16,0,2020,6,34.4
2020-06,Ireland,483,85,2020,6,131.1
2020-06,Italy,7559,1352,2020,6,29.5
2020-06,Latvia,52,5,2020,6,60.4
2020-06,Liechtenstein,0,0,2020,6,:
2020-06,Lithuania,141,6,2020,6,73.5
2020-06,Luxembourg,273,0,2020,6,204.7
2020-06,Malta,52,0,2020,6,152.2
2020-06,Netherlands,3851,163,2020,6,77.9
2020-06,Norway,456,13,2020,6,32.2
2020-06,Poland,10607,399,2020,6,55.9
2020-06,Portugal,10059,150,2020,6,37
2020-06,Romania,7713,385,2020,6,37.2
2020-06,Slovakia,165,0,2020,6,85.4
2020-06,Slovenia,139,3,2020,6,77.9
2020-06,Spain,10595,605,2020,6,30.6
2020-06,Sweden,29206,854,2020,6,43.8
2020-07,Austria,3407,45,2020,7,51.4
2020-07,Belgium,8290,81,2020,7,80
2020-07,Bulgaria,6701,151,2020,7,55.3
2020-07,Croatia,2361,38,2020,7,42
2020-07,Cyprus,116,0,2020,7,75.8
2020-07,Czechia,4596,35,2020,7,71
2020-07,Denmark,1021,10,2020,7,54.9
2020-07,Estonia,81,0,2020,7,71.2
2020-07,Finland,216,3,2020,7,35.8
2020-07,France,23118,422,2020,7,27.5
2020-07,Germany,15194,143,2020,7,43.4
2020-07,Greece,1068,14,2020,7,32
2020-07,Hungary,350,11,2020,7,79
2020-07,Iceland,71,0,2020,7,34.4
2020-07,Ireland,592,27,2020,7,131.1
2020-07,Italy,6959,374,2020,7,29.5
2020-07,Latvia,113,2,2020,7,60.4
2020-07,Liechtenstein,6,0,2020,7,:
2020-07,Lithuania,279,2,2020,7,73.5
2020-07,Luxembourg,2071,6,2020,7,204.7
2020-07,Malta,154,0,2020,7,152.2
2020-07,Netherlands,4184,59,2020,7,77.9
2020-07,Norway,414,6,2020,7,32.2
2020-07,Poland,11295,253,2020,7,55.9
2020-07,Portugal,9281,159,2020,7,37
2020-07,Romania,23916,692,2020,7,37.2
2020-07,Slovakia,650,1,2020,7,85.4
2020-07,Slovenia,560,8,2020,7,77.9
2020-07,Spain,53449,191,2020,7,30.6
2020-07,Sweden,9077,246,2020,7,43.8
2020-08,Austria,6390,50,2020,8,51.4
2020-08,Belgium,15756,196,2020,8,80
2020-08,Bulgaria,4576,239,2020,8,55.3
2020-08,Croatia,5131,41,2020,8,42
2020-08,Cyprus,374,1,2020,8,75.8
2020-08,Czechia,8065,45,2020,8,71
2020-08,Denmark,3196,9,2020,8,54.9
2020-08,Estonia,322,1,2020,8,71.2
2020-08,Finland,765,3,2020,8,35.8
2020-08,France,93106,366,2020,8,27.5
2020-08,Germany,34504,120,2020,8,43.4
2020-08,Greece,5840,60,2020,8,32
2020-08,Hungary,1634,19,2020,8,79
2020-08,Iceland,223,0,2020,8,34.4
2020-08,Ireland,2746,14,2020,8,131.1
2020-08,Italy,21677,342,2020,8,29.5
2020-08,Latvia,165,2,2020,8,60.4
2020-08,Liechtenstein,19,0,2020,8,:
2020-08,Lithuania,857,6,2020,8,73.5
2020-08,Luxembourg,1137,8,2020,8,204.7
2020-08,Malta,1059,3,2020,8,152.2
2020-08,Netherlands,16339,75,2020,8,77.9
2020-08,Norway,1654,9,2020,8,32.2
2020-08,Poland,21684,323,2020,8,55.9
2020-08,Portugal,7479,89,2020,8,37
2020-08,Romania,36654,1278,2020,8,37.2
2020-08,Slovakia,1652,4,2020,8,85.4
2020-08,Slovenia,753,14,2020,8,77.9
2020-08,Spain,208333,1162,2020,8,30.6
2020-08,Sweden,7456,70,2020,8,43.8
2020-09,Austria,18269,97,2020,9,51.4
2020-09,Belgium,39788,135,2020,9,80
2020-09,Bulgaria,4567,200,2020,9,55.3
2020-09,Croatia,6324,94,2020,9,42
2020-09,Cyprus,267,2,2020,9,75.8
